pc_item_id,pc_item_name,fk_im_spec_master_desc,fk_im_spec_options_desc,glcat_mcat_id,glcat_mcat_name
273333793,Polycab 6.0 Sqmm   LF FR Wire,Suitable for,Buildings,208737,Polycab House Wire
178420860,Polycab Wire 1mm,Conductor,Copper,208737,Polycab House Wire
28420287,Polycab Flexible Cable,,,208737,Polycab House Wire
253213195,Polycab 1 Sq.mm 1 Core Fr Industrial Flexible Cable Red (100 M),Standard,IS 694:2010,208737,Polycab House Wire
157136392,WAACAB 1.50 Sqmm Housing Wire,Roll Length,90 meter,208737,Polycab House Wire
188148205,6sqmm Single Core Copper Flexible Polycab,Suitable for,Construction,208737,Polycab House Wire
283114660,Polycab Wires,,,208737,Polycab House Wire
283624518,Polycab 0.75MM Cable Wire,Insulation Material,PVC,208737,Polycab House Wire
276764732,Polycab Wire,,,208737,Polycab House Wire
289953533,16 sq.mm Polycab Suprema Single Core Flexible Wire,Colour,Yellow,208737,Polycab House Wire
229287897,1.5sqmm Etira Flame Retardant Wire,Brand,Etira,208737,Polycab House Wire
200523816,"Polycab 1.5 Sqmm Wire, LFFR, Multistrand, 90m",Wire Size,1.5 sqmm,208737,Polycab House Wire
197657558,Polycab House Wires,Certifications,CE,208737,Polycab House Wire
149102610,Polycab 6.0mm Wire (90mtr),,,208737,Polycab House Wire
246636065,Polycab etira  Electric House Wire,Brand,Polycab,208737,Polycab House Wire
271079628,Polycab 6 Sqmm Copper Flexible Wire,Suitable for,Construction,208737,Polycab House Wire
73802576,Polycab FR House Wires,Insulation Material,FR,208737,Polycab House Wire
281507975,Polycab House Wire,Conductor,Copper,208737,Polycab House Wire
192546889,Polycab House Wire,Roll Length,90 m,208737,Polycab House Wire
200322230,Polycab Etira Flame Retardant House Wire,Model,Ertiga Flame Retardant,208737,Polycab House Wire
249810995,300m Polycab House Wire,Wire Size,0.75 sqmm,208737,Polycab House Wire
252011793,Polycab House Wire,Insulation Material,PVC,208737,Polycab House Wire
238523779,Polycab 100 Meter 2 Core Flexible Copper Cable,Insulation Material,PVC,208737,Polycab House Wire
194070914,Polycab Single Core Electrical Cable,Dia,25Sqmm,208737,Polycab House Wire
191793289,Polycab House Wire,,,208737,Polycab House Wire
264144820,Polycab Wires,,,208737,Polycab House Wire
267942668,Polycab Fr House Wires,Roll Length,90 m,208737,Polycab House Wire
258470737,1.5 Sqmm Blue Polycab Wire,Strand,Multistrand,208737,Polycab House Wire
170522919,Polycab Pvc Insulated Flexible House Wire,Brand,Polycab,208737,Polycab House Wire
241355055,Polycab HR-FR-LSH-LF Red House Wire,Model,HR-FR-LSH-LF,208737,Polycab House Wire
169160210,Polycab FR House Wires,Suitable for,Homes,208737,Polycab House Wire
230952227,Polycab (ETIRA) 4 Sq Mm  House Wire 90 Meter,,,208737,Polycab House Wire
233322069,Polycab FR LSH  Wire,Color,Black,208737,Polycab House Wire
176479270,Polycab 1.5 Sq.mm PVC Insulated Industrial Wire,Warranty,1 Year,208737,Polycab House Wire
288553402,"Polycab FR House Wires, Roll Length: 90 M, Wire Size: 0.5 Sqmm",Number of Core,single,208737,Polycab House Wire
273252491,Polycab 4.0 Sqmm FRLF Wire,Number Of Cores,Single Core,208737,Polycab House Wire
262081998,Polycab Pvc Insulated House Wires,Insulation Material,PVC,208737,Polycab House Wire
268451089,Polycab House Wire,Country Of Origin,Made in India,208737,Polycab House Wire
232331247,Polycab Wire,Suitable for,Homes,208737,Polycab House Wire
154703730,House Wire,Number Of Cores,Single,208737,Polycab House Wire
159219646,Polycab Wire,Voltage,1100V,208737,Polycab House Wire
227591912,"Polycab Industrial Multistand Cables (FRZH), 16 sq mm",Voltage,1100V,208737,Polycab House Wire
227582598,"Polycab Industrial Multistand Cables (FRLF), 16 sq mm",Warranty,1 Year,208737,Polycab House Wire
102622056,Polycab Electrical Wire,Length,90 m,208737,Polycab House Wire
264385119,Polycab Wire,,,208737,Polycab House Wire
286355103,1.5sq Mm Polycab House Wire,Length,90 m,208737,Polycab House Wire
233536366,1.5 Sqmm Polycab Etira FR Wire,Suitable for,Buildings,208737,Polycab House Wire
173695627,1.5 Sqmm Polycab House Wire,Suitable for,Homes,208737,Polycab House Wire
205398886,4 Sq.mm Polycab House Wire,Certifications,IS 694,208737,Polycab House Wire
169983898,1.5sqmm Polycab House Wires,Max. Overall Diameter,3.1 mm,208737,Polycab House Wire
287945539,Polycab FR LSH 1.5 Sq MM Wire,Insulation Material,FR LSH And PVC Insulation,208737,Polycab House Wire
261494875,Polycab Green 0.75 Sqmm Single Core 90m HR FRLSH LF PVC Eco-Friendly Insulated Cable,Number Of Cores,Single Core,208737,Polycab House Wire
261453325,6.0 SQMM TRACO FRLS PVC Insulated Cable (Green) 90meter,Brand,TRACO CABLES,208737,Polycab House Wire
232331093,Polycab House Wire,Conductor,Copper,208737,Polycab House Wire
153542354,Polycab Electrical Wire,Core Material,PVC,208737,Polycab House Wire
253213365,Polycab 1 Sq.Mm 1 Core Fr Industrial Flexible Cable Yellow (100 M),Selling Unit,Roll,208737,Polycab House Wire
193158281,Polycab House Wire,Wire Size,1.5 sqmm,208737,Polycab House Wire
17656904,House Wires,Number Of Cores,Single,208737,Polycab House Wire
290339611,1 Sq.mm Polycab LF FR House Wire,Roll Length,180 m,208737,Polycab House Wire
252844578,Polycab Etira 1.5 Sq.Mm 1 Core Flame Retardant (Fr) House Wire Red (90 M),Strand Dia.,0.25 mm,208737,Polycab House Wire
266232933,POLYCAB 300 MTRS 1.0SQMM FRLSH,Roll Length,300 m,208737,Polycab House Wire
280460305,6 Sqmm Polycab  Insulated Wire,Roll Length,90 m,208737,Polycab House Wire
192546393,Polycab House Wire,Suitable for,Construction,208737,Polycab House Wire
276760745,1.5 sqmm Polycab House Wire,Wire Size,1.5 sqmm,208737,Polycab House Wire
269006388,Polycab House Wire,Grade,Copper,208737,Polycab House Wire
178012250,Polycab House Wire,Wire Size,1 sqmm,208737,Polycab House Wire
289369389,"Polycab Maxima 0.75 sqmm wire, Multistrand, FRLSH, 90m, Red",Roll Length,90 m,208737,Polycab House Wire
203893689,Polycab 2.5 Sqmm House Wire,Roll Length,200 m,208737,Polycab House Wire
182876372,"2.50 Sqmm House Wire Green, 90 Mtr.",Fire Resistant,Yes,208737,Polycab House Wire
163641221,Polycab Heat Retardant Insulated Cable,Color,Blue,208737,Polycab House Wire
154870391,Polycab PVC  2.5mm Single Core Flexible Copper Wire,,,208737,Polycab House Wire
286355105,Polycab 1.5 Sq Mm Fr House Wire,Current Carrying Capacity,12A,208737,Polycab House Wire
152025035,2.5 Mm House Wire,Number Of Cores,36,208737,Polycab House Wire
111463694,Electrical Poly Cab Wire,,,208737,Polycab House Wire
232826557,Polycab Lead Free Flame Retardant House Wire,Color,Red,208737,Polycab House Wire
246636065,Polycab etira  Electric House Wire,Conductor,Copper,208737,Polycab House Wire
281029534,House Wire Polycab 300 Meters,Current Rating,32A,208737,Polycab House Wire
193569954,Polycab House Wire,Wire Size,2.5 sqmm,208737,Polycab House Wire
193197976,Polycab House wire,Country Of Origin,Made in India,208737,Polycab House Wire
88944362,Polycab 90m PVC Insulated FR Single Core Unsheathed Cable,,,208737,Polycab House Wire
98550970,Polycab Electrical Wires,,,208737,Polycab House Wire
155078380,Polycab FR House Wires,Country of Origin,Made in India,208737,Polycab House Wire
200672646,Polycab Electrical Wire,Conductor,Copper,208737,Polycab House Wire
240858232,Polycab Wire,Number Of Cores,Single Core,208737,Polycab House Wire
266576959,Polycab House Wire 1.5,Wire Size,1.5 sqmm,208737,Polycab House Wire
235716312,Polycab FRZH-Flame Retardant Zero Halogen Wire,Voltage,1100V,208737,Polycab House Wire
230074903,Polycab House Wire,Wire Size,1.5 sqmm,208737,Polycab House Wire
281849190,Polycab House Wire,Color,Black,208737,Polycab House Wire
268093295,Polycab 10Sqmm Wire,Conductor,Copper,208737,Polycab House Wire
105994729,Polycab Electrical Wires,Wire Color,"Red,Yellow,Green,Black,Pink",208737,Polycab House Wire
273315472,Polycab 2.5 Sqmm FRLSH Wire,Max. Operating Temperature,70 Degree C,208737,Polycab House Wire
117101144,Polycab Cables,,,208737,Polycab House Wire
250184118,1.0Sqmm Polycab  House Wire,Voltage,1100V,208737,Polycab House Wire
180992052,Polycab PVC Insulated Industrial Cable,Wire Size,1 sqmm,208737,Polycab House Wire
270196923,1sqmm Polycab Optima Plus Electrical Wire,Packaging Type,Box,208737,Polycab House Wire
179344939,Polycab FRLF House Wire,No Of Core,20 Core,208737,Polycab House Wire
269892046,Polycab House Wire 0.75  Sq Mm,Number Of Cores,Single Core,208737,Polycab House Wire
269800787,Polycab Wire,Current Rating,4A,208737,Polycab House Wire
169546845,Polycab FR House Wires,Certifications,RoHS Compliant,208737,Polycab House Wire
290749611,Polycab Cables 1.5 Sq Mm,Model,Polycab Optima+,208737,Polycab House Wire
142877509,Polycab Wire Cables,Current Rating,16 to 24 Amp,208737,Polycab House Wire
281418839,"Digital Panel Meter, Model- WL1320 10 OOOO",Features,voltmeter,208737,Polycab House Wire
288812724,Electrical House Wiring,Max Voltage,220,208737,Polycab House Wire
134369653,Flexible Cable,Size,0.5 - 400 Square mm,208737,Polycab House Wire
113344538,Polycab Cables,,,208737,Polycab House Wire
144888464,2.5 Sqmm Syska House Wire,Rated Current,6A,208737,Polycab House Wire
261498710,Red Polycab Green House Wire,Wire Size,1 sqmm,208737,Polycab House Wire
262082211,1.5 Sqmm Green  Polycab House Wire,Brand,Polycab,208737,Polycab House Wire
269890966,1sq Mm Polycab House Wire,Conductor,Copper,208737,Polycab House Wire
286355094,Polycab 1.5 Sq Mm Fr House Wire,Voltage,1100 Volts (AC),208737,Polycab House Wire
163413495,"Polycab Wire , Size 1sqmm",Wire Size,1 sqmm,208737,Polycab House Wire
170691142,Polycab Wire,Suitable for,Buildings,208737,Polycab House Wire
264949970,Polycab Wires And Cables,Insulation Material,FRLS,208737,Polycab House Wire
282265764,Polycab Cables And Wires,Certifications,IS 694,208737,Polycab House Wire
198917673,4mm Polycab HR FR LSH LF PVC Cable,Insulation Material,PVC,208737,Polycab House Wire
267083621,Polycab Electrical Wire 1 Mm,Conductor,Copper,208737,Polycab House Wire
151823498,POLYCAB WIRE,Color,RED/BLACK/BLUE/GREEN/YELLOW,208737,Polycab House Wire
176535775,"Polycab Red House Wire, 2.5 Sq mm",Number Of Cores,Single Core,208737,Polycab House Wire
203565211,Polycab Wire,,,208737,Polycab House Wire
189294788,Electrical Polycab Wire 2.5MM,Suitable for,Buildings,208737,Polycab House Wire
277814760,50sqmm Polycab House Wire,Suitable for,Construction,208737,Polycab House Wire
231630704,Polycab (ETIRA) 4 Sq mm  House Wire 90 Meter (Blue),Insulation Material,FR,208737,Polycab House Wire
131351153,Polycab Electrical Wire,Brand,Polycab,208737,Polycab House Wire
279529052,1sqmm Polycab House Wire,Insulation Material,PVC,208737,Polycab House Wire
287063601,1 Sq mm Polycab Optima Plus Wires Cables,Model,Polycab Optima+,208737,Polycab House Wire
269488111,1sqmm Polycab House Wire,Color,Red,208737,Polycab House Wire
262082229,1.5 Sqmm Red Polycab House Wire,Conductor,Copper,208737,Polycab House Wire
251319851,Polycab Etira 1Sqmm Flame Retardant House Wire,Voltage,1100V,208737,Polycab House Wire
178345266,1.0 Sqmm Polycab Electrical Wire,Suitable for,Buildings,208737,Polycab House Wire
274145354,"Polycab Maxima+ 2.5 sqmm wire, ,Multistrand, 90m, Red",Conductor Material,Copper,208737,Polycab House Wire
239664220,"Polycab 1 sqmm Wire, Multistrand, LFFR, 90m, Red",Conductor Material,Copper,208737,Polycab House Wire
266322987,2.5sqmm Polycab House Wire,Color,Green,208737,Polycab House Wire
49161202,Polycabs Cables,,,208737,Polycab House Wire
146751080,1.5 Square MM Polycab House Wires,Wire Size,1.5 Square mm,208737,Polycab House Wire
238734839,Polycab Lead Free FR-LF - 90m 1 Sqmm House Electric Copper Wire,Insulation Material,FRLF,208737,Polycab House Wire
193945675,4Sqmm Polycab Electric Wire,Wire Size,4 sqmm,208737,Polycab House Wire
261970226,1 Sqmm Blue Polycab House Wire,Brand,Polycab,208737,Polycab House Wire
142826774,Polycab House Wires,Suitable For,House Wiring,208737,Polycab House Wire
35066531,Polycab FRLS Wires,Country Of Origin,Made in India,208737,Polycab House Wire
205115801,"Polycab Green Wire 0.75 sq mm Wire, Multistrand, HR FR-LSH LF,90m,Blue",Roll Length,90 m,208737,Polycab House Wire
116281962,Polycab Flexible Cable,Type,High Voltage,208737,Polycab House Wire
127918045,1.5 Mm Polycab Wire,Material,Galvanized Iron (GI),208737,Polycab House Wire
192673740,Polycab House Wire,Voltage,220V,208737,Polycab House Wire
132998397,Polycab Electric Wire,Body Material,PVC Insulated,208737,Polycab House Wire
278068769,Fire Survival Cables,POLYCAB,MAKE,208737,Polycab House Wire
200405374,Polycab Wire,,,208737,Polycab House Wire
144710235,Polycab House Wires,Suitable For,House Wiring,208737,Polycab House Wire
240133068,Polycab House Wires,,,208737,Polycab House Wire
276959512,Polycab House Wire,Roll Length,90 m,208737,Polycab House Wire
110939697,Polycab FR House Wires,Brand,Polycab,208737,Polycab House Wire
149674970,Polycab Cable Wire,,,208737,Polycab House Wire
131024075,Polycab House Wire,Country of Origin,Made in India,208737,Polycab House Wire
181296741,All Type Of Polycab Wire,,,208737,Polycab House Wire
191053886,0.75 Sq mm PVC Insulated Polycab House Wire,Insulation Material,PVC,208737,Polycab House Wire
137597601,Polycab Cables,,,208737,Polycab House Wire
226720259,Polycab Optima+ 1 Sq.mm 1 Core Frlf Wire Green (90 M),Unit of Measurement,Metre,208737,Polycab House Wire
189294788,Electrical Polycab Wire 2.5MM,Insulation Material,PVC,208737,Polycab House Wire
123003919,Electrical Poly Cab Wire,,,208737,Polycab House Wire
186013412,Polycab  Electrical Wire,Voltage,220V,208737,Polycab House Wire
142780203,Polycab 4C Flexible Copper 4sqmm AC Cables,Is It Armoured,Non Armoured,208737,Polycab House Wire
235717744,Polycab HR FR-LSH LF Wire,Insulation Material,FRLF,208737,Polycab House Wire
266323502,2.5 sqmm Polycab FRLF Red House Wire,Voltage,240V,208737,Polycab House Wire
149416623,Polycab PVC Insulated Industrial Cable,Voltage,1100V,208737,Polycab House Wire
131024075,Polycab House Wire,Number Of Cores,Single,208737,Polycab House Wire
255054353,Polycab House Wire,,,208737,Polycab House Wire
263709851,Polycab House Wire,Voltage,440V,208737,Polycab House Wire
247139182,2.5sqmm Polycab Red LF FR Wire,Color,Red,208737,Polycab House Wire
288779389,"Polycab Maxima 0.75 sqmm Wire, Multistrand, HR FR-LSH LF, 90m, Yellow",Insulation Type,HR FR-LSH LF,208737,Polycab House Wire
205066130,Polycab FR PVC Insulated Panel Wire,Colors,Grey,208737,Polycab House Wire
196701206,Polycab Single Core multistrand house wire,Wire Size,6 sqmm,208737,Polycab House Wire
197675875,4.0sqmm Polycab LF FR Flexible Wire,Voltage,440V,208737,Polycab House Wire
192663320,Polycab House Wire,Conductor,Copper,208737,Polycab House Wire
187835947,Polycab Wires,,,208737,Polycab House Wire
162217163,Polycab Wire,Wire Size,2.5 sqmm,208737,Polycab House Wire
256847602,Polycab Wire,,,208737,Polycab House Wire
91499710,Polycab Copper Wire,,,208737,Polycab House Wire
146646073,PVC Polycab Electrical Wire 1Sq,Material,PVC (Insulated),208737,Polycab House Wire
255579197,Blue Polycab House Wire,Insulation Material,PVC,208737,Polycab House Wire
233616074,630mm Polycab FR PVC Insulated Single Core Unsheathed Industrial Flexible Cable,Brand,Polycab,208737,Polycab House Wire
192663156,Polycab FRZH Red Lead Free Cable,Insulation Material,FRLS PVC,208737,Polycab House Wire
142914194,Electric Polycab Wire,Insulation Material,PVC,208737,Polycab House Wire
247150839,Havells or Polycab wires and Cable,Wire Size,4 sqmm,208737,Polycab House Wire
205309905,Yellow Polycab FR House Wire,Conductor,Copper,208737,Polycab House Wire
139410934,Polycab Flexible Cable,,,208737,Polycab House Wire
116608294,House Wire,Current Carrying Capacity,11:00 AM,208737,Polycab House Wire
141266469,Polycab House Wire,Insulation Material,FR,208737,Polycab House Wire
281619727,Polycab Wire 1.5 Sq Mm,Number Of Cores,Single Core,208737,Polycab House Wire
263897474,Polycab Wire 2.5 mm,Suitable for,Construction,208737,Polycab House Wire
266435646,Polycab LF FR Red 1.5  Sq mm PVC Wire,Roll Length,90 m,208737,Polycab House Wire
270634506,Copper Wire 2 Core 1.5 Sqmm Make Polycab,Conductor,Copper,208737,Polycab House Wire
224980905,1sqmm Polycab Yellow FR Wire,Color,Yellow,208737,Polycab House Wire
133809631,Jainson 1.0 Sq mm FR PVC Insulated Building Wire,Colour,"Red,Blue,Black,Brown,Grey,Orange,White,Green,Yellow",208737,Polycab House Wire
272767991,Kundan Cab Wires,,,208737,Polycab House Wire
160702651,Polycab Fr House Wires,Wire Size,1 sqmm,208737,Polycab House Wire
148446841,Polycab Cable Wire,,,208737,Polycab House Wire
232144979,Polycab House Wire,,,208737,Polycab House Wire
288253507,2.5 Sqmm Polycab Optima Plus House Wire,Grade,1000 V,208737,Polycab House Wire
124090822,Polycab Wire And Cables,Certifications,RoHS,208737,Polycab House Wire
188006441,Polycab PVC Insulated 2.5mm Single Core Flexible Copper Wires,Insulation Material,PVC,208737,Polycab House Wire
236014690,Polycab House Wire,Insulation Material,FR,208737,Polycab House Wire
287088353,Polycab Wire,,,208737,Polycab House Wire
190519028,Polycab FR Cable,,,208737,Polycab House Wire
160740766,Polycab Make Wires  Cables,Suitable for,Homes,208737,Polycab House Wire
166374910,Polycab 90m Insulated Wire,Number of Cores,Single Core,208737,Polycab House Wire
270619249,Mdpv Crystals,Resistance (Max) per Km at Degree C,A,208737,Polycab House Wire
76095786,Polycab Wire,,,208737,Polycab House Wire
